"Duns","Lat","Lon"
835469453,42.88,-83.62
839094968,39.85,-84.32
840208362,41.88,-84.07
840618722,25.94,-97.44
859396459,27.61,-99.53
867224396,43.70,-87.75
879491165,27.61,-99.50
883459596,42.83,-86.09
883659419,36.07,-83.73
883670531,31.70,-106.26
932094261,41.45,-78.55
938287257,38.64,-83.83
940022411,34.17,-80.98
944091388,42.18,-72.55
945342988,32.55,-116.95
948686894,38.16,-84.81
951555514,26.04,-98.36
951555555,25.51,-100.99
951561896,25.72,-100.53
951562415,28.67,-106.08
951563237,21.39,-101.88
951568959,20.85,-101.49
951573065,25.78,-100.13
951576692,20.90,-101.38
951576694,20.90,-101.38
951580896,19.61,-99.20
951596981,20.97,-101.42
951596983,21.98,-100.87
951630097,19.26,-98.41
951635355,25.51,-100.97
957906738,36.47,-82.81
958059800,40.72,-81.11
961920811,42.24,-83.45
962838595,41.28,-82.87
963369785,43.03,-83.30
964350735,42.65,-83.16
965513893,38.87,-99.32
966669645,42.88,-85.64
967312542,42.54,-83.15
968663109,42.68,-83.28
969038780,42.38,-83.06
969560676,42.54,-83.11
969789283,30.42,-97.66
79833491,31.36,-85.87
250431,44.26,-85.44
243923,44.26,-85.41
133501655,44.26,-85.42
6015382,42.97,-85.63
112827779,42.89,-85.65
240218,42.60,-82.85
98674047,42.59,-82.85
794041215,41.43,-85.21
835242660,41.44,-85.21
254680,38.51,-81.64
878516160,38.52,-81.64
123943,43.59,-83.98
154518,42.81,-83.24
169938,42.63,-83.99
176537,26.09,-98.24
181313,43.14,-85.71
202346,43.52,-89.99
202367,31.35,-110.94
202477,41.92,-88.11
243931,42.88,-85.73
251025,45.20,-84.98
251231,43.22,-83.17
253724,40.49,-81.43
256313,41.48,-82.04
256362,39.43,-84.21
261487,38.28,-84.54
782569,42.18,-86.35
782612,41.62,-87.53
1140862,41.83,-71.87
2788573,40.45,-86.09
3344918,34.77,-83.04
3432510,42.84,-82.49
4154415,41.48,-82.04
4160511,41.09,-81.45
4223988,41.33,-81.94
4240305,39.10,-84.55
4334793,40.72,-80.30
5034160,41.61,-83.79
5043310,41.86,-84.33
5069901,42.12,-86.45
5100961,41.97,-88.69
5341664,42.46,-83.09
5372040,42.84,-82.86
5377056,42.25,-84.48
5426853,43.90,-91.08
5457221,41.88,-87.86
5461512,41.44,-86.16
5476700,39.38,-87.69
5498423,42.44,-83.79
5509385,42.47,-83.03
6031561,42.85,-85.38
6102438,43.09,-88.40
6288377,34.14,-83.94
6374938,38.34,-87.56
6414353,39.79,-86.12
6414601,39.02,-85.63
6520134,42.93,-83.50
6553036,42.50,-82.96
9971289,40.41,-91.40
18656168,41.29,-82.20
18866145,41.72,-72.72
20774709,35.34,-78.00
21093638,44.04,-83.68
21295514,42.03,-87.97
21388649,35.69,-77.88
21793257,42.21,-87.94
23256705,40.07,-74.16
24953291,42.26,-88.83
30993351,39.85,-82.78
37207404,33.01,-85.06
39432740,37.02,-85.06
42438176,42.71,-83.24
43352038,44.76,-85.41
49816044,41.49,-87.78
50516009,35.93,-80.60
51366094,39.72,-82.20
51761013,45.35,-85.02
52452141,42.66,-83.01
52754223,42.83,-88.71
52935558,40.66,-82.57
52959525,40.55,-85.29
53495482,38.59,-91.22
53593968,42.92,-78.60
53669594,43.37,-84.64
53795241,35.93,-86.52
54039961,37.19,-80.39
57852626,41.80,-88.29
60184496,43.70,-85.46
64197742,42.21,-83.14
64384746,42.95,-82.44
65055766,32.90,-80.09
65344301,32.75,-81.62
65609430,42.67,-82.95
66525213,44.87,-93.40
67392746,35.28,-81.20
68620715,41.38,-88.82
70850102,42.92,-75.81
75146159,40.63,-81.46
77472228,36.18,-86.27
77496289,40.53,-79.96
78324942,42.46,-83.22
78545742,36.16,-83.39
78643461,42.47,-83.03
78746685,32.55,-85.55
78852206,39.17,-94.63
79138101,39.51,-85.79
79183209,41.73,-85.42
79196555,37.77,-84.84
812779939,25.51,-100.97
180083,43.22,-85.55
79309220,32.68,-115.38
79359232,39.10,-88.56
79595043,36.07,-86.43
79821636,42.49,-76.47
80126254,36.00,-85.05
80161136,40.77,-81.42
80210967,42.56,-71.87
80612068,42.24,-85.51
80646147,39.72,-82.67
81084010,41.62,-88.00
81300333,42.85,-83.45
81325097,28.81,-81.31
81438677,36.59,-86.51
81470688,38.36,-88.05
84167444,34.75,-77.38
87709226,41.20,-81.44
94565165,41.99,-86.09
94790771,41.72,-92.28
94804051,41.03,-83.67
94805751,41.93,-84.64
95028171,39.53,-82.39
97274534,42.01,-88.26
97800411,34.53,-83.99
99051716,44.95,-91.37
99733271,40.28,-83.09
102229465,41.47,-87.02
108171489,42.51,-83.59
108706169,35.62,-80.77
113342802,35.39,-81.34
113980234,35.56,-87.17
116833270,29.61,-97.96
116973138,42.87,-83.62
117046830,35.65,-77.34
117222030,35.26,-87.33
117466627,37.63,-84.79
117565092,43.22,-86.20
117669097,39.49,-83.61
117819049,42.21,-83.42
117871973,34.70,-82.49
118257772,42.46,-83.43
121520691,43.05,-89.07
124169777,38.97,-84.61
125767186,41.66,-72.94
129617036,26.11,-97.60
131002078,35.19,-86.07
136995656,41.91,-83.37
140323879,35.22,-80.41
143314495,35.82,-86.40
143630924,41.11,-81.89
143631294,41.45,-87.67
147076814,41.52,-85.05
147645162,36.53,-86.04
147735815,43.61,-88.73
150748655,39.82,-76.62
152271631,41.87,-78.65
152467754,42.93,-71.44
170212968,35.09,-80.92
175796465,43.18,-85.24
182824722,41.17,-82.20
183440353,41.29,-86.63
183568419,44.41,-83.34
185980109,36.17,-94.11
189658198,38.86,-94.54
191098008,34.93,-86.98
194108072,43.16,-88.01
194643367,34.24,-84.47
199632803,34.61,-83.76
200346773,44.43,-79.15
200426716,43.77,-79.55
201048894,42.38,-82.21
201189391,43.83,-79.31
201345410,43.38,-79.76
202679841,44.77,-79.91
209008747,42.95,-81.60
209022177,42.11,-83.09
243198058,45.66,-72.12
243459851,43.74,-79.28
243895005,45.11,-72.97
244247250,43.15,-79.27
245126024,43.84,-79.36
245601075,43.65,-79.67
246852862,42.85,-80.70
247965841,42.03,-82.58
249188079,43.01,-80.88
249906280,42.56,-81.68
253575757,43.98,-79.46
253737779,43.70,-79.59
255296519,44.11,-79.59
256734286,43.34,-80.43
256873100,43.25,-79.78
259972586,42.95,-81.87
360712413,29.35,-100.92
360740807,35.86,-83.49
604974600,41.66,-88.10
605115146,42.93,-71.44
605121417,38.59,-86.10
609729947,42.63,-89.00
617058453,35.61,-88.89
620827498,43.09,-77.39
620897061,42.95,-83.65
621472831,42.69,-83.39
621632046,29.60,-98.28
621900281,34.78,-86.95
780465220,41.72,-86.29
788326093,39.70,-91.43
790631402,34.04,-117.62
791110252,36.03,-86.63
791152353,41.69,-88.03
796672926,43.12,-86.21
798685590,41.28,-82.83
800144433,43.41,-86.37
800574258,42.54,-83.11
801365284,35.54,-81.23
806052304,35.71,-81.74
807849687,39.26,-93.97
809497337,42.67,-82.75
825259992,36.26,-82.55
827836214,38.67,-88.46
828815444,42.22,-85.53
829011498,39.70,-84.20
829057814,43.28,-91.79
829173934,36.87,-87.74
829470223,37.21,-86.70
830994609,41.72,-80.14
832347293,39.65,-85.14
832805159,42.05,-87.90
841599694,42.02,-85.81
847748175,31.86,-106.69
878833979,41.36,-85.22
926463431,44.88,-92.62
931992978,38.09,-83.90
933877334,41.28,-81.87
941717472,41.92,-87.95
942885633,34.73,-85.27
944235043,34.69,-82.23
956295711,41.65,-85.00
961973638,36.13,-80.64
963581926,43.03,-88.22
964879613,35.47,-84.64
965532971,44.03,-90.08
966101313,35.86,-83.93
966606340,38.06,-84.47
966712460,33.81,-83.67
967708277,41.00,-81.46
967763152,37.35,-79.83
968511779,42.71,-83.24
968709142,42.12,-79.18
969325336,27.57,-99.51
556385677,39.55,-84.26
951607866,20.50,-103.28
105160183,41.29,-82.96
202528,35.86,-83.93
202538,22.21,-101.04
202555,19.11,-98.25
1288109,36.15,-86.77
5086376,42.25,-87.98
17519708,36.17,-82.90
27858120,42.49,-83.35
28985463,42.22,-83.38
33463584,32.55,-116.94
42658435,26.04,-97.73
65052011,34.72,-82.36
72595184,42.89,-85.65
80631376,32.73,-97.06
87071440,39.79,-84.19
117680485,34.62,-82.60
121793137,34.99,-80.88
123748993,31.80,-106.40
147197677,42.51,-82.96
147589501,44.07,-91.71
171839975,38.97,-84.61
175592476,42.45,-83.27
240006416,43.82,-79.06
800930831,42.32,-83.42
808141266,43.02,-86.19
811424803,20.56,-103.31
811977958,20.96,-101.43
812278273,25.85,-100.29
812368579,19.30,-99.53
812376358,25.67,-100.19
812403467,25.50,-100.97
812411205,22.05,-100.87
812420834,22.03,-102.27
812465177,20.89,-101.39
812504389,20.74,-103.44
812510956,20.56,-100.28
812556694,21.04,-101.57
812581408,22.03,-102.26
812667420,21.91,-101.97
812703197,20.60,-103.40
812756999,19.60,-99.22
812761608,20.99,-101.47
812814534,25.75,-99.98
812816104,25.53,-103.26
812824802,19.29,-99.62
812828819,25.57,-100.92
812840348,20.89,-100.62
813078391,20.83,-100.42
813203262,25.26,-101.10
815028881,19.13,-98.26
824066039,25.56,-100.92
824518690,26.01,-98.21
826223968,31.71,-106.29
876258823,43.03,-86.19
944953959,45.39,-122.74
947299504,42.38,-83.04
951566911,25.39,-100.93
951572785,20.55,-100.26
951589520,25.72,-100.51
951591860,21.75,-102.28
951601391,25.23,-101.16
951603585,25.51,-100.97
951627977,25.51,-100.97
951629495,20.83,-100.41
780560330,38.88,-86.48
202558,21.06,-101.76
258921,42.95,-87.91
810701673,20.77,-97.47
37749264,42.25,-83.40
876861881,32.26,-110.94
812971950,21.99,-100.86
814644662,21.99,-100.87
812925691,21.99,-100.87
555555555,21.99,-100.87
249196973,43.14,-79.18
258616,35.99,-86.60
1162395,41.30,-72.43
47972708,38.82,-82.16
78409608,41.98,-88.02
119555837,40.34,-83.75
812800912,24.16,-104.51
118720207,32.64,-97.30
963001375,36.31,-88.26
124578,42.54,-83.18
7992886,42.71,-83.26
154729144,29.93,-95.42
610074270,41.20,-111.99
951626638,25.51,-100.99
117558925,41.15,-80.86
202607,37.27,-85.89
63515605,42.54,-88.60
202611,39.43,-84.21
812535193,20.56,-100.27
951635604,20.78,-101.33
243597635,44.45,-79.57
202533,39.91,-82.99
791202315,36.18,-85.94
69335826,34.79,-86.95
